your 131072x1 screen size is bogus. expect trouble
UID          PID    PPID  C STIME TTY          TIME CMD
aaryan     99845   96476 99 19:59 ?        00:10:02 gz sim -g
aaryan    100266   99509 78 19:59 ?        00:07:15 /opt/ros/humble/lib/ros_gz_bridge/parameter_bridge /rgb_camera@sensor_msgs/msg/Image@gz.msgs.Image /rgb_camera/camera_info@sensor_msgs/msg/CameraInfo@gz.msgs.CameraInfo /depth_camera@sensor_msgs/msg/Image@gz.msgs.Image /depth_camera/points@sensor_msgs/msg/PointCloud2@gz.msgs.PointCloudPacked /camera_info@sensor_msgs/msg/CameraInfo@gz.msgs.CameraInfo /mono_camera@sensor_msgs/msg/Image@gz.msgs.Image /mono_camera/camera_info@sensor_msgs/msg/CameraInfo@gz.msgs.CameraInfo /clock@rosgraph_msgs/msg/Clock@gz.msgs.Clock /model/x500_depth_mono_0/odometry_with_covariance@nav_msgs/msg/Odometry@gz.msgs.OdometryWithCovariance --ros-args -r __node:=bridge --params-file /tmp/launch_params_b5y2e714 -r /rgb_camera:=/drone/front_rgb -r /rgb_camera/camera_info:=/drone/front_rgb/camera_info -r /depth_camera:=/drone/front_depth -r /depth_camera/points:=/drone/front_depth/points -r /camera_info:=/drone/front_depth/camera_info -r /mono_camera:=/drone/down_mono -r /mono_camera/camera_info:=/drone/down_mono/camera_info -r /model/x500_depth_mono_0/odometry_with_covariance:=/drone/gz_odometry
aaryan    101005   96482  0 19:59 ?        00:00:00 /usr/bin/python3 /opt/ros/humble/bin/ros2 launch terrain_mapping_drone_control rtabmap.launch.py
aaryan    101116  101005  3 20:00 ?        00:00:17 /usr/bin/python3 /home/aaryan/ros2_ws/install/terrain_mapping_drone_control/lib/terrain_mapping_drone_control/odom_to_camera_tf --ros-args -r __node:=odom_to_camera_tf --params-file /tmp/launch_params__5sz5e62
aaryan    101118  101005  7 20:00 ?        00:00:36 /opt/ros/humble/lib/rtabmap_slam/rtabmap --ros-args -r __node:=rtabmap --params-file /tmp/launch_params_x5gwzjau -r rgb/image:=/drone/front_rgb -r rgb/camera_info:=/drone/front_depth/camera_info -r depth/image:=/drone/front_depth -r depth/camera_info:=/drone/front_depth/camera_info
aaryan    101732   96482  0 20:00 ?        00:00:00 /usr/bin/python3 /opt/ros/humble/bin/ros2 launch terrain_mapping_drone_control mission.launch.py
aaryan    101776  101732 20 20:00 ?        00:01:35 /usr/bin/python3 /home/aaryan/ros2_ws/install/terrain_mapping_drone_control/lib/terrain_mapping_drone_control/aruco_tracker --ros-args --log-level warn --ros-args -r __node:=aruco_tracker --params-file /tmp/launch_params_evegb95t
aaryan    101778  101732 22 20:00 ?        00:01:41 /usr/bin/python3 /home/aaryan/ros2_ws/install/terrain_mapping_drone_control/lib/terrain_mapping_drone_control/auto_detect_land --ros-args -r __node:=cylinder_mission_node --params-file /tmp/launch_params_qeco5927
root      101869       2  0 20:01 ?        00:00:00 /init
root      101870  101869  0 20:01 ?        00:00:00 /init
aaryan    101871  101870  0 20:01 pts/5    00:00:00 sleep 430
aaryan    102350   96482  0 20:08 pts/10   00:00:00 ps -ef
